[LOG] System::create                           : Header version = 1.10.12. Current version = 1.10.12.
[LOG] Manager::init                            : maxchannels = 256 studioflags = 00000006 flags 00000000 extradriverdata 0000000000000000.
[LOG] SystemI::init                            : Initialize version=11012 (101101), maxchannels=256, flags=0x00020000
[LOG] SystemI::setOutputInternal               : Setting output to 'FMOD WASAPI Output'
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEX): wFormatTag=0xFFFE, nChannels=2, nSamplesPerSec=44100, nAvgBytesPerSec=352800, nBlockAlign=8, wBitsPerSample=32, cbSize=22.
[LOG] OutputWASAPI::init                       : Mix Format (WAVEFORMATEXTENSIBLE): wValidBitsPerSample=32, dwChannelMask=0x00000003, SubFormat=00000003-0000-0010-8000-00AA00389B71.
[LOG] OutputWASAPI::init                       : Output buffer size: 3760 samples, latency: 0.00ms, period: 10.00ms, DSP buffer: 1024 * 4
[WRN] SystemI::init                            : Output requires a sample rate of 44100Hz, resampling will occur.
[LOG] Thread::initThread                       : Init FMOD stream thread. Priority: 2, Stack Size: 65536, Semaphore: No, Sleep Time: 10, Looping: Yes.
[LOG] Thread::initThread                       : Init FMOD mixer thread. Priority: 3, Stack Size: 49152, Semaphore: No, Sleep Time: 0, Looping: Yes.
[LOG] AsyncManager::init                       : manager 0000000044BA7D98 isAsync 0 updatePeriod 0.02
[LOG] AsyncManager::init                       : done
[LOG] PlaybackSystem::init                     : 
[LOG] Thread::initThread                       : Init FMOD Studio sample load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] PlaybackSystem::init                     : done
[LOG] Thread::initThread                       : Init FMOD Studio bank load thread. Priority: 0, Stack Size: 65536, Semaphore: No, Sleep Time: 1, Looping: No.
[LOG] Manager::init                            : done.
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_661.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_661.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 6
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_662.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_662.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Thread::callback                         : FMOD Studio bank load thread finished.
[LOG] Thread::callback                         : FMOD Studio sample load thread finished.
[LOG] LiveUpdate::release                      : 
[LOG] LiveUpdate::reset                        : Reset connection (reason Disconnected)
[LOG] Thread::callback                         : FMOD stream thread finished.
[LOG] Thread::callback                         : FMOD mixer thread finished.
[LOG] SystemI::close                           : Closed.
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_663.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_663.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_664.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_664.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_665.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_665.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_666.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_666.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_667.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_667.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_668.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_668.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_669.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_669.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_670.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_670.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_671.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_671.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_672.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_672.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_673.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_673.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_674.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_674.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_675.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_675.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
[LOG] Manager::receiveLiveUpdateBank           : Received live update bank path: fmod:///remote/C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_676.bank
[LOG] ProfileRemoteFile::fileOpen              : Attemping to open remote file 'C:/Users/Yiyan Wang/AppData/Local/FMOD Studio/UnsavedProjects/Hotswap-ElF2mF/hotswap_676.bank'
[LOG] Manager::readBank                        : fileversion = 103, compatVersion = 99 (oldest = 44, newest = 103)
